Monday,Date,Time,Name,Tagline,Instagram,Address,Age
7:12:12 AM,,17:30,Fusion Kraków,Teenage choir by NCC,fusionkrakow,Zygmunta Miłkowskiego 9,13-19
,,19:30,Gravity Kraków,The Polish Christian Club,gravity.krk,Golikówka 12,
Tuesday,,,,,,,
,,,,,,,
Wednesday,,,,,,,
,,19:30,Over,Youth group by KDM,over.krk,Berka Joselewicza 28,18-30
,,19:00,Breakthrough Kraków,English conversation night,breakthroughkrakow,Wroclawska 8A,
,,19:00,Głos na Pustyni,Worship night,glosnapustyni,Balicka 214,
Thursday,,,,,,,
,,,,,,,
Friday,,,,,,,
,,17:00,Chrystus Królem,Youth group,FB: KCHK, Aleja Focha 40,13-19
,,17:30,Krakow International Church,TGIF Friday Fellowship,No instagram,ul. Zabłocie 25/2,
Saturday,,,,,,,
